id,gender,age,income,score,cluster,segment
149,Female,34,78,22,3,Conservative earners
150,Male,34,78,90,2,Young impulsive
151,Male,43,78,17,3,Conservative earners
152,Male,39,78,88,2,Young impulsive
153,Female,44,78,20,3,Conservative earners
154,Female,38,78,76,2,Young impulsive
155,Female,47,78,16,3,Conservative earners
156,Female,27,78,89,2,Young impulsive
157,Male,37,78,1,3,Conservative earners
158,Female,30,78,78,2,Young impulsive
159,Male,34,78,1,3,Conservative earners
160,Female,30,78,73,2,Young impulsive
161,Female,56,79,35,4,Mid-tier balanced
162,Female,29,79,83,2,Young impulsive
163,Male,19,81,5,3,Conservative earners
164,Female,31,81,93,2,Young impulsive
165,Male,50,85,26,3,Conservative earners
166,Female,36,85,75,2,Young impulsive
167,Male,42,86,20,3,Conservative earners
168,Female,33,86,95,2,Young impulsive
169,Female,36,87,27,3,Conservative earners
170,Male,32,87,63,2,Young impulsive
171,Male,40,87,13,3,Conservative earners
172,Male,28,87,75,2,Young impulsive
173,Male,36,87,10,3,Conservative earners
174,Male,36,87,92,2,Young impulsive
175,Female,52,88,13,3,Conservative earners
176,Female,30,88,86,2,Young impulsive
177,Male,58,88,15,3,Conservative earners
178,Male,27,88,69,2,Young impulsive
179,Male,59,93,14,3,Conservative earners
180,Male,35,93,90,2,Young impulsive
181,Female,37,97,32,3,Conservative earners
182,Female,32,97,86,2,Young impulsive
183,Male,46,98,15,3,Conservative earners
184,Female,29,98,88,2,Young impulsive
185,Female,41,99,39,3,Conservative earners
186,Male,30,99,97,2,Young impulsive
187,Female,54,101,24,3,Conservative earners
188,Male,28,101,68,2,Young impulsive
189,Female,41,103,17,3,Conservative earners
190,Female,36,103,85,2,Young impulsive
191,Female,34,103,23,3,Conservative earners
192,Female,32,103,69,2,Young impulsive
193,Male,33,113,8,3,Conservative earners
194,Female,38,113,91,2,Young impulsive
195,Female,47,120,16,3,Conservative earners
196,Female,35,120,79,2,Young impulsive
197,Female,45,126,28,3,Conservative earners
198,Male,32,126,74,2,Young impulsive
199,Male,32,137,18,3,Conservative earners
200,Male,30,137,83,2,Young impulsive
